股票代码,股票名称,涨跌幅,概念名称
300609,汇纳科技,-1.78,"AI语料,华为海思概念股,无人零售"
605186,健麾信息,-1.78,AI语料
300785,值得买,-1.97,"AI语料,NFT概念,拼多多概念"
300182,捷成股份,-2.03,"AI语料,短剧游戏,Sora概念(文生视频),知识产权保护"
300226,上海钢联,-2.16,AI语料
300133,华策影视,-2.19,"AI语料,短剧游戏,手机游戏,Sora概念(文生视频),知识产权保护"
600825,新华传媒,-2.98,"AI语料,无人零售"
300071,福石控股,-5.14,"AI语料,Sora概念(文生视频)"
300033,同花顺,-7.27,AI语料
300379,东方通,19.98,"阿里巴巴概念,车联网(车路协同),多模态AI,ETC,工业互联网,国产操作系统,军工,华为概念,华为鲲鹏,华为欧拉,京津冀一体化,军工信息化,区块链,人工智能,融资融券,深股通,数据安全,数据确权,数据要素,数字经济,无人机,信创,网络安全,虚拟现实,智慧政务,职业教育,5G"
300047,天源迪科,12.14,"阿里巴巴概念,百度概念,车联网(车路协同),存储芯片,东数西算(算力),军工,互联网金融,互联网医疗,鸿蒙概念,华为概念,华为鲲鹏,华为欧拉,华为昇腾,机器人概念,军工信息化,跨境电商,蚂蚁金服概念,区块链,人工智能,深股通,时空大数据,数据要素,数字货币,数字经济,腾讯概念,乡村振兴,信创,网络安全,移动支付,云办公,在线教育,智慧城市,智慧政务,智能交通,职业教育,5G"
639,西王食品,10.04,"阿里巴巴概念,电子商务,体育产业"
605398,新炬网络,10.03,"阿里巴巴概念,百度概念,长三角一体化,互联网金融,华为概念,华为鲲鹏,人工智能,数据中心,数字经济,信创"
2681,奋达科技,10.02,"阿里巴巴概念,传感器,储能,电子商务,互联网医疗,华为概念,家用电器,机器人概念,跨境电商,汽车电子,人工智能,人形机器人,深股通,体育产业,无线充电,无线耳机,消费电子概念,小米概念,星闪概念,血氧仪,虚拟现实,智能穿戴,智能家居,智能音箱,中俄贸易概念"
603887,城地香江,9.98,"阿里巴巴概念,东数西算(算力),股权转让(并购重组),华为概念,PPP概念,数据中心,算力租赁,腾讯概念"
601828,美凯龙,9.89,"阿里巴巴概念,国企改革,沪股通,腾讯概念,网络直播"
300657,弘信电子,7.99,"阿里巴巴概念,宁德时代概念,东数西算(算力),福建自贸区,共封装光学(CPO),军工,华为概念,机器人概念,MiniLED,OLED,PCB概念,汽车电子,柔性屏(折叠屏),深股通,算力租赁,卫星导航,无人机,无线耳机,消费电子概念,小米概念,小米汽车,新能源汽车,新型烟草(电子烟),虚拟现实,英伟达概念,元宇宙,智能穿戴"
688246,嘉和美康,7.90,"阿里巴巴概念,互联网医疗,华为鲲鹏,人工智能,数据要素,数据中心,数字经济,养老概念,智能医疗"
688648,中邮科技,6.62,"阿里巴巴概念,国企改革,机器视觉,科创次新股,人工智能,统一大市场,统一大市场,统一大市场,无人机,无人驾驶,新股与次新股,智能物流,中字头股票,注册制次新股"
2368,太极股份,6.54,"阿里巴巴概念,安防,工业互联网,国产操作系统,国企改革,国资云,鸿蒙概念,华为鲲鹏,军工信息化,人工智能,数据要素,数据中心,数字经济,数字孪生,数字乡村,网约车,无人驾驶,雄安新区,信创,网络安全,央企国企改革,智慧城市,智慧政务"
702,正虹科技,6.06,"阿里巴巴概念,参股券商,股权转让(并购重组),预制菜,猪肉"
300161,华中数控,5.71,"阿里巴巴概念,锂电池概念,高端装备,工业互联网,工业母机,机器人概念,人工智能,数据中心,数字孪生,新型工业化,智能物流,职业教育,3D打印"
603927,中科软,5.55,"阿里巴巴概念,百度概念,车联网(车路协同),互联网医疗,鸿蒙概念,华为鲲鹏,互联网保险,区块链,人工智能,数据安全,数据要素,数字货币,腾讯概念,乡村振兴,信创,网络安全,智慧政务,智能医疗,中字头股票"
300078,思创医惠,5.41,"阿里巴巴概念,安防,百度概念,电子纸,辅助生殖,共同富裕示范区,互联网医疗,家庭医生,机器人概念,举牌,区块链,人工智能,食品安全,数据要素,物联网,养老概念,智慧城市,智能医疗"
2024,ST易购,5.13,"阿里巴巴概念,超级品牌,电子商务,独角兽概念,三胎概念,互联网金融,互联网保险,家用电器,跨境电商,冷链物流,农村电商,区块链,ST板块,网络直播,无人零售,乡村振兴,智能家居,智能物流"
300870,欧陆通,5.12,"阿里巴巴概念,比亚迪概念,充电桩,第三代半导体,富士康概念,数据中心,WiFi 6,无人机,消费电子概念,液冷服务器"
688343,云天励飞,4.58,"阿里巴巴概念,安防,车联网(车路协同),低空经济,东数西算(算力),多模态AI,华为鲲鹏,华为昇腾,机器视觉,人脸识别,算力租赁,信创,智慧城市,智慧政务,智能穿戴,智能交通,智能座舱"
300469,信息发展,4.40,"阿里巴巴概念,车联网(车路协同),工业大麻,股权转让(并购重组),冷链物流,区块链,食品安全,数据要素,数字经济,数字乡村,腾讯概念,信创,智慧政务,智能交通"
300339,润和软件,4.38,"阿里巴巴概念,创投,电力物联网,多模态AI,ERP概念,国产操作系统,互联网金融,鸿蒙概念,华为海思概念股,华为鲲鹏,华为欧拉,华为汽车,华为昇腾,蚂蚁金服概念,区块链,数字货币,物联网,无人驾驶,小米概念,信创,星闪概念,网络安全,虚拟现实,元宇宙,在线教育,智慧政务,智能电网,智能家居,智能交通,智能座舱"
300068,南都电源,3.85,"阿里巴巴概念,储能,动力电池回收,风电,固态电池,核电,金属回收,两轮车,钠离子电池,氢能源,燃料电池,石墨烯,数据中心,小金属概念,虚拟电厂"
34,神州数码,3.77,"阿里巴巴概念,低空经济,东数西算(算力),鸿蒙概念,华为海思概念股,华为鲲鹏,华为昇腾,区块链,数据中心,数字孪生,网络安全,液冷服务器,英伟达概念"
600415,小商品城,2.95,"阿里巴巴概念,参股券商,电子商务,共同富裕示范区,跨境电商,数字经济,同花顺出海50,同花顺中特估100,网红经济,网红经济,网红经济,虚拟数字人,一带一路,中俄贸易概念"
300911,亿田智能,2.89,"阿里巴巴概念,电子商务,东数西算(算力),家用电器,算力租赁"
2373,千方科技,2.83,"阿里巴巴概念,安防,百度概念,充电桩,大飞机,多模态AI,ETC,毫米波雷达,互联网金融,京津冀一体化,机器视觉,蚂蚁金服概念,PPP概念,人脸识别,时空大数据,水利,数字经济,数字孪生,雄安新区,小米汽车,元宇宙,智能交通"
300188,国投智能,2.68,"阿里巴巴概念,电子身份证,东数西算(算力),EDR概念,福建自贸区,国产操作系统,国资云,海峡两岸,鸿蒙概念,华为鲲鹏,区块链,人脸识别,食品安全,数据安全,数据确权,数字货币,Sora概念(文生视频),腾讯概念,网络安全,央企国企改革,元宇宙,知识产权保护,职业教育"
603232,格尔软件,2.64,"阿里巴巴概念,百度概念,电子身份证,鸿蒙概念,华为鲲鹏,军工信息化,量子科技,汽车芯片,区块链,数据安全,数字货币,网络安全,移动支付,云办公,智慧政务,智能交通"
300212,易华录,2.55,"阿里巴巴概念,安防,百度概念,东数西算(算力),独角兽概念,国资云,华为鲲鹏,京津冀一体化,农村电商,PPP概念,数据安全,数据确权,数字孪生,雄安新区,乡村振兴,养老概念,一带一路,智慧政务"
601216,君正集团,2.48,"阿里巴巴概念,参股券商,参股银行,高股息精选,航运概念,互联网金融,可降解塑料,蚂蚁金服概念,煤化工概念,煤炭概念,生物疫苗,水泥概念,天然气,证金持股"
300366,创意信息,2.48,"阿里巴巴概念,电力物联网,东数西算(算力),国产操作系统,华为鲲鹏,华为欧拉,数据安全,数字乡村,碳交易,智慧政务,智能电网"
600588,用友网络,2.28,"阿里巴巴概念,参股保险,ERP概念,互联网金融,互联网医疗,鸿蒙概念,华为鲲鹏,同花顺漂亮100,移动支付,智能医疗,证金持股"
600398,海澜之家,2.01,"阿里巴巴概念,三胎概念,高股息精选,网络直播,证金持股"
601921,浙版传媒,2.00,"阿里巴巴概念,短剧游戏,高股息精选,共同富裕示范区,国资云,NFT概念,网络游戏,网络游戏,网络游戏,网络游戏,文化传媒概念,在线教育"
688521,芯原股份,1.89,"阿里巴巴概念,国家大基金持股,汽车芯片,上海自贸区,数字货币,腾讯概念,智能音箱"
688365,光云科技,1.81,"阿里巴巴概念,抖音概念,ERP概念,跨境电商,拼多多概念,云办公"
2467,二六三,1.79,"阿里巴巴概念,腾讯概念,网络直播,网红经济,网红经济,网红经济,网红经济,网红经济,网红经济,网红经济,网红经济,网红经济,网红经济,网红经济,网红经济,网红经济,虚拟数字人,元宇宙,云办公,语音技术,在线教育"
300020,*ST银江,1.75,"阿里巴巴概念,百度概念,ETC,共同富裕示范区,互联网医疗,华为鲲鹏,家庭医生,数字孪生,数字乡村,元宇宙,智慧政务,智能医疗"
301165,锐捷网络,1.63,"阿里巴巴概念,共封装光学(CPO),国资云,腾讯概念,WiFi 6,液冷服务器,云办公"
300645,正元智慧,1.63,"阿里巴巴概念,百度概念,电子身份证,共同富裕示范区,蚂蚁金服概念,人脸识别,食品安全,数字货币,数字孪生,腾讯概念,养老概念,移动支付,元宇宙,在线教育,职业教育"
301085,亚康股份,1.62,"阿里巴巴概念,抖音概念,共封装光学(CPO),华为昇腾,京津冀一体化,快手概念,算力租赁,腾讯概念"
600410,华胜天成,1.48,"阿里巴巴概念,跨境电商,冷链物流,时空大数据,无线耳机,移动支付,元宇宙,在线教育"
301202,朗威股份,1.48,"阿里巴巴概念,换电概念,腾讯概念,液冷服务器"
300556,丝路视觉,1.41,"阿里巴巴概念,抖音概念,空间计算,苹果概念,时空大数据,数字孪生,文化传媒概念,雄安新区,虚拟数字人,元宇宙,在线教育,职业教育"
301169,零点有数,1.39,"阿里巴巴概念,互联网金融,华为昇腾,跨境电商,苹果概念,时空大数据,数据安全,数据确权,数字孪生,数字乡村,腾讯概念,烟草,元宇宙,云办公"
2212,天融信,1.39,"阿里巴巴概念,电子身份证,EDR概念,量子科技,数据确权,数字水印,腾讯概念,雄安新区,云办公,智慧灯杆"
301171,易点天下,1.31,"阿里巴巴概念,抖音概念,独角兽概念,多模态AI,快手概念,跨境电商,拼多多概念,Sora概念(文生视频),腾讯概念,虚拟数字人,移动支付"
2642,荣联科技,1.21,"阿里巴巴概念,独角兽概念,国资云,互联网金融,基因测序,水利,数字孪生,数字乡村,碳中和,星闪概念,智能医疗"
688215,瑞晟智能,1.09,"阿里巴巴概念,智能物流"
688262,国芯科技,20.01,"安防,比亚迪概念,长安汽车概念,车联网(车路协同),存储芯片,国家大基金持股,电子身份证,东数西算(算力),鸿蒙概念,沪股通,量子科技,汽车电子,汽车芯片,融资融券,数据安全,数字货币,MCU芯片,MCU芯片,MCU芯片,物联网,无人驾驶,先进封装,信创,星闪概念,芯片概念,网络安全,智能电网"
688010,福光股份,20.00,"安防,福建自贸区,军工,华为概念,军民融合,区块链,融资融券,商业航天,专精特新"
300044,赛为智能,17.36,"安防,车联网(车路协同),低空经济,抖音概念,军工,机器人概念,机器视觉,军民融合,农村电商,PPP概念,人工智能,人脸识别,融资融券,时空大数据,手机游戏,数据要素,数据中心,网络游戏,网络游戏,网络游戏,网络游戏,无人机,无人驾驶,乡村振兴,新型工业化,养老概念,粤港澳大湾区,智慧城市,智能交通,5G"
600345,长江通信,9.98,"安防,车联网(车路协同),股权转让(并购重组),国企改革,华为概念,沪股通,人工智能,数据要素,卫星导航,信创,央企国企改革,智慧城市,智能交通,5G"
2298,中电兴发,9.94,"安防,充电桩,传感器,储能,电子商务,电力物联网,东数西算(算力),高铁,工业互联网,军工,华为概念,机器视觉,军工信息化,PPP概念,人工智能,人脸识别,时空大数据,数据安全,数据要素,数据中心,数字经济,数字乡村,碳中和,物联网,无人机,无线充电,消费电子概念,信创,网络安全,虚拟电厂,智慧城市,智慧政务,智能电网,智能交通,5G"
600654,中安科,9.90,"安防,比亚迪概念,华为概念,物业管理,信创,网络安全,智慧城市,智能交通,摘帽"
300735,光弘科技,8.90,"安防,车联网(车路协同),充电桩,宠物经济,传感器,储能,低空经济,EDR概念,工业互联网,光伏概念,毫米波雷达,华为概念,华为汽车,机器人概念,汽车电子,深股通,卫星导航,物联网,无人驾驶,消费电子概念,小米概念,小米汽车,移动支付,智能穿戴,智能家居,5G"
688038,中科通达,8.39,"安防,车联网(车路协同),多模态AI,华为概念,华为鲲鹏,华为欧拉,机器视觉,人工智能,人脸识别,数据安全,数据要素,数字经济,数字孪生,信创,语音技术,智慧城市,智慧政务,智能交通"
301421,波长光电,6.99,"安防,锂电池概念,光刻机,机器人概念,机器视觉,基因测序,深股通,无人驾驶,消费电子概念,芯片概念"
